iter	Passed	Remaining
882	1304	172
883	1305	171
884	1306	169
885	1307	168
886	1308	166
887	1310	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1316	157
893	1317	156
894	1318	154
895	1319	153
896	1320	151
897	1321	150
898	1323	148
899	1325	147
900	1326	145
901	1327	144
902	1328	142
903	1329	141
904	1330	139
905	1331	138
906	1332	136
907	1333	135
908	1335	133
909	1336	132
910	1337	130
911	1338	129
912	1340	127
913	1342	126
914	1343	124
915	1345	123
916	1346	121
917	1347	120
918	1348	118
919	1349	117
920	1350	115
921	1351	114
922	1357	113
923	1358	111
924	1360	110
925	1362	108
926	1364	107
927	1368	106
928	1371	104
929	1372	103
930	1374	101
931	1375	100
932	1376	98
933	1377	97
934	1378	95
935	1379	94
936	1381	92
937	1382	91
938	1383	89
939	1384	88
940	1386	86
941	1387	85
942	1390	84
943	1391	82
944	1394	81
945	1396	79
946	1397	78
947	1399	76
948	1400	75
949	1401	73
950	1402	72
951	1404	70
952	1405	69
953	1406	67
954	1406	66
955	1409	64
956	1410	63
957	1412	61
958	1412	60
959	1413	58
960	1414	57
961	1415	55
962	1416	54
963	1417	52
964	1418	51
965	1419	49
966	1419	48
967	1420	46
968	1421	45
969	1425	44
970	1426	42
971	1427	41
972	1428	39
973	1429	38
974	1431	36
975	1431	35
976	1432	33
977	1433	32
978	1434	30
979	1435	29
980	1436	27
981	1438	26
982	1440	24
983	1441	23
984	1442	21
985	1443	20
986	1444	19
987	1445	17
988	1446	16
989	1447	14
990	1448	13
991	1449	11
992	1450	10
993	1451	8
994	1453	7
995	1461	5
996	1462	4
997	1463	2
998	1464	1
999	1465	0
